,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
47228,Violence Against the Person,E01004734,Westminster,2333.2,676.1,3.45
47230,Violence Against the Person,E01004736,Westminster,1399.7,525.7,2.66
47733,Violence Against the Person,E01035716,Westminster,1226.2,397.3,3.09
47506,Violence Against the Person,E01034150,Croydon,1011.3,324.5,3.12
43574,Violence Against the Person,E01000863,Camden,956.3,324.6,2.95
45649,Violence Against the Person,E01003047,Lambeth,811.2,303.5,2.67
47252,Violence Against the Person,E01004763,Westminster,780.4,267.0,2.92
44993,Violence Against the Person,E01002356,Havering,736.3,245.8,3.0
47559,Violence Against the Person,E01034220,Newham,733.1,452.8,1.62
47512,Violence Against the Person,E01034156,Sutton,691.7,245.2,2.82
45078,Violence Against the Person,E01002444,Hillingdon,669.1,288.6,2.32
45571,Violence Against the Person,E01002968,Kingston upon Thames,658.4,165.7,3.97
47382,Violence Against the Person,E01033708,Hackney,620.6,273.6,2.27
44034,Violence Against the Person,E01001340,Ealing,573.0,330.4,1.73
47539,Violence Against the Person,E01034200,Newham,550.7,222.4,2.48
47588,Violence Against the Person,E01034473,Barking and Dagenham,539.1,190.0,2.84
43485,Violence Against the Person,E01000769,Bromley,528.3,237.9,2.22
47465,Violence Against the Person,E01033938,Brent,515.7,296.3,1.74
47229,Violence Against the Person,E01004735,Westminster,496.6,188.7,2.63
47381,Violence Against the Person,E01033706,Hackney,493.8,236.8,2.09
44591,Violence Against the Person,E01001943,Hammersmith and Fulham,484.3,180.2,2.69
45615,Violence Against the Person,E01003013,Lambeth,484.2,246.1,1.97
47250,Violence Against the Person,E01004761,Westminster,483.5,194.6,2.48
45886,Violence Against the Person,E01003291,Lewisham,477.1,238.1,2.0
47528,Violence Against the Person,E01034188,Greenwich,474.2,274.4,1.73
47478,Violence Against the Person,E01034030,Ealing,466.7,158.7,2.94
47366,Violence Against the Person,E01033594,Westminster,456.9,230.1,1.99
47375,Violence Against the Person,E01033699,Hackney,446.3,213.5,2.09
47501,Violence Against the Person,E01034145,Croydon,438.7,185.2,2.37
47574,Violence Against the Person,E01034386,Bromley,432.3,205.7,2.1
43623,Violence Against the Person,E01000914,Camden,425.2,194.3,2.19
44589,Violence Against the Person,E01001941,Hammersmith and Fulham,398.4,143.1,2.78
47284,Violence Against the Person,E01032741,Havering,395.4,157.0,2.52
44548,Violence Against the Person,E01001898,Hammersmith and Fulham,391.6,178.1,2.2
43628,Violence Against the Person,E01000919,Camden,389.5,157.4,2.47
