,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
54294,E01035670,Vehicle Offences,Tower Hamlets,4380,54.4,2110.72,0.058,17.241379310344826
54285,E01035670,Arson and Criminal Damage,Tower Hamlets,4380,72.8,3479.84,0.073,13.698630136986303
54291,E01035670,Public Order Offences,Tower Hamlets,4380,77.4,4489.2,0.079,12.658227848101266
6905,E01000661,Theft,Bromley,2834,84.3,4855.68,0.087,11.49425287356322
22220,E01002129,Arson and Criminal Damage,Harrow,2691,92.5,5439.0,0.091,10.989010989010989
27621,E01002641,Arson and Criminal Damage,Hounslow,2728,86.7,5202.0,0.092,10.869565217391305
44843,E01004309,Robbery,Tower Hamlets,2843,87.3,5360.22,0.092,10.869565217391305
54286,E01035670,Burglary,Tower Hamlets,4380,93.1,5632.55,0.093,10.75268817204301
42108,E01004031,Arson and Criminal Damage,Southwark,2610,89.0,5393.4,0.093,10.75268817204301
22231,E01002130,Arson and Criminal Damage,Harrow,2923,94.8,5792.28,0.093,10.75268817204301
46112,E01004430,Arson and Criminal Damage,Waltham Forest,2671,93.4,5762.78,0.095,10.526315789473685
41874,E01004004,Theft,Southwark,2612,100.0,6340.0,0.096,10.416666666666666
45219,E01004348,Vehicle Offences,Waltham Forest,2929,98.0,6076.0,0.096,10.416666666666666
6897,E01000661,Arson and Criminal Damage,Bromley,2834,83.6,5250.08,0.096,10.416666666666666
28546,E01002735,Burglary,Islington,2954,88.0,5649.6,0.098,10.204081632653061
18070,E01001730,Theft,Hackney,2788,107.2,7053.76,0.099,10.1010101010101
11,E01000007,Arson and Criminal Damage,Barking and Dagenham,2841,86.1,5527.62,0.099,10.1010101010101
18082,E01001731,Vehicle Offences,Hackney,2665,105.1,6968.13,0.1,10.0
22232,E01002130,Burglary,Harrow,2923,91.8,6022.08,0.101,9.900990099009901
27627,E01002641,Public Order Offences,Hounslow,2728,100.7,7159.77,0.101,9.900990099009901
37474,E01003574,Theft,Newham,2596,104.9,6944.38,0.101,9.900990099009901
21458,E01002056,Theft,Haringey,2920,108.8,7256.96,0.102,9.803921568627452
53644,E01034607,Theft,Hillingdon,2268,101.4,6905.34,0.102,9.803921568627452
54316,E01035672,Vehicle Offences,Tower Hamlets,3012,92.2,6112.86,0.102,9.803921568627452
9768,E01000931,Arson and Criminal Damage,Camden,2056,103.0,6839.2,0.102,9.803921568627452
15243,E01001445,Theft,Enfield,2797,90.9,6090.3,0.103,9.708737864077671
54315,E01035672,Theft,Tower Hamlets,3012,100.2,6763.5,0.104,9.615384615384615
44836,E01004309,Arson and Criminal Damage,Tower Hamlets,2843,112.4,7643.2,0.105,9.523809523809524
48375,E01004644,Theft,Wandsworth,2563,100.3,6870.55,0.106,9.433962264150944
19348,E01001859,Violence Against the Person,Hammersmith and Fulham,2710,95.5,6618.15,0.106,9.433962264150944
5025,E01000477,Vehicle Offences,Brent,2318,110.6,7786.24,0.106,9.433962264150944
13055,E01001243,Vehicle Offences,Ealing,2367,95.4,6592.14,0.106,9.433962264150944
37078,E01003538,Theft,Newham,2144,106.2,7391.52,0.107,9.345794392523365
54726,E01035710,Burglary,Camden,2598,104.6,7374.3,0.107,9.345794392523365
46253,E01004444,Vehicle Offences,Waltham Forest,2785,101.8,7258.34,0.107,9.345794392523365
10010,E01000958,Arson and Criminal Damage,Camden,2981,93.9,6591.78,0.108,9.25925925925926
37310,E01003559,Vehicle Offences,Newham,2365,101.2,7185.2,0.108,9.25925925925926
53182,E01034471,Theft,Barking and Dagenham,2642,107.5,7826.0,0.108,9.25925925925926
12628,E01001202,Arson and Criminal Damage,Ealing,2479,98.5,6914.7,0.108,9.25925925925926
41677,E01003984,Vehicle Offences,Southwark,2314,91.5,6569.7,0.109,9.174311926605505
45703,E01004392,Vehicle Offences,Waltham Forest,2573,112.3,8108.06,0.109,9.174311926605505
49123,E01004723,Theft,Westminster,2228,105.9,7487.13,0.109,9.174311926605505
39629,E01003783,Robbery,Redbridge,2549,108.0,7635.6,0.109,9.174311926605505
31557,E01003018,Vehicle Offences,Lambeth,2006,103.2,7306.56,0.109,9.174311926605505
11383,E01001087,Vehicle Offences,Croydon,2830,102.9,7480.83,0.109,9.174311926605505
37884,E01003619,Arson and Criminal Damage,Newham,2473,104.2,7710.8,0.11,9.090909090909092
38168,E01003645,Vehicle Offences,Redbridge,2762,105.8,7522.38,0.11,9.090909090909092
39158,E01003739,Vehicle Offences,Redbridge,2386,102.1,7249.1,0.11,9.090909090909092
6158,E01000586,Vehicle Offences,Brent,2370,103.5,7420.95,0.111,9.00900900900901
31018,E01002968,Vehicle Offences,Kingston upon Thames,2937,103.3,7499.58,0.111,9.00900900900901
27827,E01002662,Theft,Hounslow,2499,114.2,8370.86,0.111,9.00900900900901
39301,E01003752,Vehicle Offences,Redbridge,2781,102.0,7313.4,0.111,9.00900900900901
13131,E01001250,Theft,Ealing,2168,108.5,7877.1,0.111,9.00900900900901
39487,E01003770,Theft,Redbridge,2864,134.5,9778.15,0.112,8.928571428571429
548,E01000060,Vehicle Offences,Barking and Dagenham,2169,105.8,7681.08,0.112,8.928571428571429
54788,E01035715,Theft,Westminster,2788,109.3,8317.73,0.112,8.928571428571429
680,E01000072,Vehicle Offences,Barking and Dagenham,2142,105.2,7753.24,0.112,8.928571428571429
41997,E01004016,Violence Against the Person,Southwark,2560,118.6,8752.68,0.112,8.928571428571429
37133,E01003543,Theft,Newham,2338,117.7,8603.87,0.113,8.849557522123893
46934,E01004507,Theft,Wandsworth,2573,104.3,7707.77,0.113,8.849557522123893
47913,E01004601,Theft,Wandsworth,2510,103.8,7618.92,0.113,8.849557522123893
34977,E01003340,Theft,Lewisham,2069,103.2,7605.84,0.113,8.849557522123893
54228,E01035664,Vehicle Offences,Tower Hamlets,2567,105.2,7763.76,0.114,8.771929824561402
44613,E01004286,Theft,Tower Hamlets,2549,117.2,8696.24,0.114,8.771929824561402
19689,E01001891,Violence Against the Person,Hammersmith and Fulham,2545,128.7,9575.28,0.114,8.771929824561402
37422,E01003570,Arson and Criminal Damage,Newham,1936,108.5,8137.5,0.114,8.771929824561402
13054,E01001243,Theft,Ealing,2367,119.0,9412.9,0.114,8.771929824561402
39488,E01003770,Vehicle Offences,Redbridge,2864,106.8,8020.68,0.114,8.771929824561402
5500,E01000524,Arson and Criminal Damage,Brent,2384,115.2,8490.24,0.114,8.771929824561402
5498,E01000523,Vehicle Offences,Brent,2296,115.5,8708.7,0.115,8.695652173913043
28003,E01002679,Theft,Hounslow,1884,113.0,8689.7,0.115,8.695652173913043
26761,E01002559,Vehicle Offences,Hounslow,2574,111.5,8362.5,0.115,8.695652173913043
2143,E01000211,Vehicle Offences,Barnet,2122,109.5,8179.65,0.115,8.695652173913043
44814,E01004307,Arson and Criminal Damage,Tower Hamlets,2385,103.8,7774.62,0.115,8.695652173913043
44339,E01004247,Vehicle Offences,Tower Hamlets,2692,111.7,8310.48,0.115,8.695652173913043
1506,E01000152,Violence Against the Person,Barnet,2681,112.8,8651.76,0.116,8.620689655172413
44516,E01004271,Violence Against the Person,Tower Hamlets,2469,131.0,10375.2,0.116,8.620689655172413
21613,E01002070,Vehicle Offences,Haringey,2574,120.2,9291.46,0.116,8.620689655172413
33140,E01003164,Theft,Lambeth,2250,120.0,9204.0,0.116,8.620689655172413
54789,E01035715,Vehicle Offences,Westminster,2788,109.1,8520.71,0.116,8.620689655172413
38785,E01003703,Violence Against the Person,Redbridge,2636,95.1,7636.53,0.116,8.620689655172413
50688,E01033587,Arson and Criminal Damage,Barking and Dagenham,2445,132.1,10052.81,0.117,8.547008547008547
43867,E01004193,Violence Against the Person,Sutton,2916,100.3,7913.67,0.117,8.547008547008547
36585,E01003489,Violence Against the Person,Newham,2987,138.2,10903.98,0.117,8.547008547008547
10582,E01001011,Arson and Criminal Damage,Croydon,2289,96.6,7360.92,0.117,8.547008547008547
42513,E01004067,Vehicle Offences,Southwark,2212,112.0,8545.6,0.118,8.474576271186441
16434,E01001558,Arson and Criminal Damage,Enfield,2006,122.9,9364.98,0.118,8.474576271186441
15159,E01001437,Burglary,Enfield,2324,117.7,9098.21,0.118,8.474576271186441
14033,E01001333,Theft,Ealing,2464,122.7,9472.44,0.118,8.474576271186441
52052,E01034036,Arson and Criminal Damage,Hounslow,1820,116.4,8916.24,0.118,8.474576271186441
