,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
9964,Burglary,E01035716,Westminster,550.0,235.6,2.33
9481,Burglary,E01004761,Westminster,329.6,174.5,1.89
9459,Burglary,E01004734,Westminster,320.4,147.0,2.18
9483,Burglary,E01004763,Westminster,333.1,146.7,2.27
9461,Burglary,E01004736,Westminster,263.5,146.5,1.8
5855,Burglary,E01000914,Camden,282.8,141.8,1.99
5798,Burglary,E01000855,Camden,219.0,137.2,1.6
9484,Burglary,E01004765,Westminster,261.4,131.7,1.98
5860,Burglary,E01000919,Camden,223.2,130.0,1.72
9613,Burglary,E01033708,Hackney,292.1,126.9,2.3
9439,Burglary,E01004714,Westminster,220.0,118.5,1.86
5795,Burglary,E01000850,Camden,188.4,115.5,1.63
7710,Burglary,E01002874,Kensington and Chelsea,88.1,112.4,0.78
9421,Burglary,E01004695,Westminster,130.3,111.6,1.17
9392,Burglary,E01004657,Westminster,147.4,110.7,1.33
8010,Burglary,E01003179,Lambeth,60.6,110.7,0.55
9222,Burglary,E01004480,Wandsworth,83.1,108.2,0.77
9597,Burglary,E01033594,Westminster,205.9,107.4,1.92
7670,Burglary,E01002833,Kensington and Chelsea,81.5,107.4,0.76
5881,Burglary,E01000942,Camden,100.3,106.5,0.94
5859,Burglary,E01000918,Camden,178.4,101.9,1.75
9460,Burglary,E01004735,Westminster,216.0,99.6,2.17
9696,Burglary,E01033938,Brent,133.8,99.6,1.34
9612,Burglary,E01033706,Hackney,162.8,98.9,1.65
6205,Burglary,E01001279,Ealing,82.3,98.6,0.83
5796,Burglary,E01000851,Camden,161.8,98.1,1.65
8823,Burglary,E01004043,Southwark,63.4,96.8,0.65
7924,Burglary,E01003091,Lambeth,63.8,96.6,0.66
6904,Burglary,E01002026,Haringey,77.2,96.4,0.8
6611,Burglary,E01001715,Hackney,86.6,96.4,0.9
8550,Burglary,E01003747,Redbridge,65.9,94.7,0.7
6940,Burglary,E01002063,Haringey,101.9,94.5,1.08
