,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
4474,Arson and Criminal Damage,E01004734,Westminster,405.6,129.4,3.13
4476,Arson and Criminal Damage,E01004736,Westminster,290.7,167.0,1.74
4978,Arson and Criminal Damage,E01035716,Westminster,277.0,112.5,2.46
4834,Arson and Criminal Damage,E01034473,Barking and Dagenham,269.1,166.3,1.62
4628,Arson and Criminal Damage,E01033708,Hackney,267.7,137.0,1.95
4724,Arson and Criminal Damage,E01034030,Ealing,227.7,141.8,1.61
4612,Arson and Criminal Damage,E01033594,Westminster,206.7,132.4,1.56
4498,Arson and Criminal Damage,E01004763,Westminster,201.3,81.3,2.48
2896,Arson and Criminal Damage,E01003047,Lambeth,199.4,96.7,2.06
4752,Arson and Criminal Damage,E01034150,Croydon,196.8,100.8,1.95
4499,Arson and Criminal Damage,E01004765,Westminster,196.2,116.9,1.68
4914,Arson and Criminal Damage,E01035652,Islington,195.8,133.2,1.47
4496,Arson and Criminal Damage,E01004761,Westminster,194.5,104.5,1.86
4621,Arson and Criminal Damage,E01033699,Hackney,190.0,137.4,1.38
4758,Arson and Criminal Damage,E01034156,Sutton,179.3,95.7,1.87
2556,Arson and Criminal Damage,E01002695,Islington,179.3,113.2,1.58
2325,Arson and Criminal Damage,E01002444,Hillingdon,178.4,84.2,2.12
4627,Arson and Criminal Damage,E01033706,Hackney,177.3,126.0,1.41
2818,Arson and Criminal Damage,E01002968,Kingston upon Thames,174.4,67.0,2.6
4893,Arson and Criminal Damage,E01035493,Wandsworth,166.4,123.9,1.34
1792,Arson and Criminal Damage,E01001894,Hammersmith and Fulham,162.0,138.4,1.17
4607,Arson and Criminal Damage,E01033589,Redbridge,161.2,95.6,1.69
686,Arson and Criminal Damage,E01000721,Bromley,159.7,120.1,1.33
1926,Arson and Criminal Damage,E01002031,Haringey,159.5,112.9,1.41
1837,Arson and Criminal Damage,E01001941,Hammersmith and Fulham,157.9,110.1,1.43
4745,Arson and Criminal Damage,E01034143,Croydon,156.1,108.8,1.43
964,Arson and Criminal Damage,E01001013,Croydon,154.5,86.5,1.79
4639,Arson and Criminal Damage,E01033735,Greenwich,154.2,130.0,1.19
3863,Arson and Criminal Damage,E01004067,Southwark,154.2,90.8,1.7
822,Arson and Criminal Damage,E01000863,Camden,151.3,84.0,1.8
2240,Arson and Criminal Damage,E01002356,Havering,147.8,63.3,2.33
411,Arson and Criminal Damage,E01000431,Bexley,141.1,134.7,1.05
4931,Arson and Criminal Damage,E01035669,Tower Hamlets,141.1,117.5,1.2
1830,Arson and Criminal Damage,E01001932,Hammersmith and Fulham,137.7,110.7,1.24
1867,Arson and Criminal Damage,E01001971,Haringey,137.2,96.5,1.42
820,Arson and Criminal Damage,E01000861,Camden,136.8,105.9,1.29
4487,Arson and Criminal Damage,E01004750,Westminster,132.5,97.6,1.36
4436,Arson and Criminal Damage,E01004695,Westminster,131.5,127.1,1.03
4475,Arson and Criminal Damage,E01004735,Westminster,131.2,62.6,2.1
3744,Arson and Criminal Damage,E01003929,Southwark,131.2,108.9,1.2
115,Arson and Criminal Damage,E01000129,Barnet,130.3,95.3,1.37
704,Arson and Criminal Damage,E01000739,Bromley,129.3,93.6,1.38
2384,Arson and Criminal Damage,E01002505,Hillingdon,128.6,100.9,1.27
4641,Arson and Criminal Damage,E01033737,Greenwich,128.6,92.3,1.39
4711,Arson and Criminal Damage,E01033938,Brent,128.5,80.2,1.6
4820,Arson and Criminal Damage,E01034386,Bromley,126.9,89.7,1.41
