,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
1724,Arson and Criminal Damage,E01001825,Hackney,49.9,254.9,0.2
249,Arson and Criminal Damage,E01000267,Barnet,33.3,206.6,0.16
4476,Arson and Criminal Damage,E01004736,Westminster,290.7,167.0,1.74
4834,Arson and Criminal Damage,E01034473,Barking and Dagenham,269.1,166.3,1.62
277,Arson and Criminal Damage,E01000295,Barnet,39.6,152.4,0.26
4724,Arson and Criminal Damage,E01034030,Ealing,227.7,141.8,1.61
4431,Arson and Criminal Damage,E01004690,Westminster,94.5,139.1,0.68
1792,Arson and Criminal Damage,E01001894,Hammersmith and Fulham,162.0,138.4,1.17
4621,Arson and Criminal Damage,E01033699,Hackney,190.0,137.4,1.38
4628,Arson and Criminal Damage,E01033708,Hackney,267.7,137.0,1.95
2224,Arson and Criminal Damage,E01002340,Havering,43.0,136.0,0.32
411,Arson and Criminal Damage,E01000431,Bexley,141.1,134.7,1.05
4914,Arson and Criminal Damage,E01035652,Islington,195.8,133.2,1.47
4612,Arson and Criminal Damage,E01033594,Westminster,206.7,132.4,1.56
2320,Arson and Criminal Damage,E01002439,Hillingdon,116.2,130.0,0.89
4639,Arson and Criminal Damage,E01033735,Greenwich,154.2,130.0,1.19
4474,Arson and Criminal Damage,E01004734,Westminster,405.6,129.4,3.13
4436,Arson and Criminal Damage,E01004695,Westminster,131.5,127.1,1.03
4627,Arson and Criminal Damage,E01033706,Hackney,177.3,126.0,1.41
2693,Arson and Criminal Damage,E01002841,Kensington and Chelsea,86.9,125.4,0.69
4893,Arson and Criminal Damage,E01035493,Wandsworth,166.4,123.9,1.34
2674,Arson and Criminal Damage,E01002819,Kensington and Chelsea,121.3,122.5,0.99
4433,Arson and Criminal Damage,E01004692,Westminster,67.0,122.0,0.55
1787,Arson and Criminal Damage,E01001889,Hammersmith and Fulham,66.7,121.1,0.55
686,Arson and Criminal Damage,E01000721,Bromley,159.7,120.1,1.33
1557,Arson and Criminal Damage,E01001625,Greenwich,90.8,119.3,0.76
4081,Arson and Criminal Damage,E01004316,Tower Hamlets,106.6,118.0,0.9
4931,Arson and Criminal Damage,E01035669,Tower Hamlets,141.1,117.5,1.2
3255,Arson and Criminal Damage,E01003418,Merton,34.4,117.5,0.29
4499,Arson and Criminal Damage,E01004765,Westminster,196.2,116.9,1.68
4017,Arson and Criminal Damage,E01004232,Tower Hamlets,80.4,116.5,0.69
3261,Arson and Criminal Damage,E01003424,Merton,35.5,116.1,0.31
2556,Arson and Criminal Damage,E01002695,Islington,179.3,113.2,1.58
1926,Arson and Criminal Damage,E01002031,Haringey,159.5,112.9,1.41
895,Arson and Criminal Damage,E01000939,Camden,122.4,112.6,1.09
4978,Arson and Criminal Damage,E01035716,Westminster,277.0,112.5,2.46
2304,Arson and Criminal Damage,E01002423,Hillingdon,67.4,112.5,0.6
4765,Arson and Criminal Damage,E01034179,Greenwich,95.1,111.6,0.85
1178,Arson and Criminal Damage,E01001234,Ealing,96.6,111.5,0.87
1830,Arson and Criminal Damage,E01001932,Hammersmith and Fulham,137.7,110.7,1.24
2601,Arson and Criminal Damage,E01002742,Islington,38.2,110.3,0.35
1837,Arson and Criminal Damage,E01001941,Hammersmith and Fulham,157.9,110.1,1.43
2753,Arson and Criminal Damage,E01002902,Kensington and Chelsea,73.4,109.8,0.67
1142,Arson and Criminal Damage,E01001196,Ealing,82.8,109.5,0.76
4226,Arson and Criminal Damage,E01004469,Waltham Forest,52.0,109.5,0.47
3744,Arson and Criminal Damage,E01003929,Southwark,131.2,108.9,1.2
4745,Arson and Criminal Damage,E01034143,Croydon,156.1,108.8,1.43
1217,Arson and Criminal Damage,E01001275,Ealing,41.0,107.3,0.38
820,Arson and Criminal Damage,E01000861,Camden,136.8,105.9,1.29
2702,Arson and Criminal Damage,E01002850,Kensington and Chelsea,112.7,105.1,1.07
2849,Arson and Criminal Damage,E01002999,Kingston upon Thames,52.2,104.6,0.5
4496,Arson and Criminal Damage,E01004761,Westminster,194.5,104.5,1.86
4632,Arson and Criminal Damage,E01033712,Hackney,100.9,104.1,0.97
4665,Arson and Criminal Damage,E01033867,Southwark,97.5,103.6,0.94
4690,Arson and Criminal Damage,E01033917,Barnet,114.3,103.4,1.11
2222,Arson and Criminal Damage,E01002338,Havering,53.2,103.3,0.52
4672,Arson and Criminal Damage,E01033874,Southwark,103.4,103.2,1.0
4750,Arson and Criminal Damage,E01034148,Croydon,126.4,102.5,1.23
1611,Arson and Criminal Damage,E01001693,Greenwich,93.7,101.9,0.92
4094,Arson and Criminal Damage,E01004333,Waltham Forest,56.2,101.7,0.55
2132,Arson and Criminal Damage,E01002245,Havering,54.8,101.1,0.54
2384,Arson and Criminal Damage,E01002505,Hillingdon,128.6,100.9,1.27
4752,Arson and Criminal Damage,E01034150,Croydon,196.8,100.8,1.95
2639,Arson and Criminal Damage,E01002783,Islington,70.8,100.8,0.7
2673,Arson and Criminal Damage,E01002818,Kensington and Chelsea,124.3,100.7,1.23
355,Arson and Criminal Damage,E01000373,Bexley,87.0,99.8,0.87
3797,Arson and Criminal Damage,E01003995,Southwark,72.2,99.8,0.72
2244,Arson and Criminal Damage,E01002361,Havering,118.9,99.7,1.19
4439,Arson and Criminal Damage,E01004698,Westminster,80.6,99.6,0.81
4876,Arson and Criminal Damage,E01034609,Hillingdon,119.8,99.0,1.21
1174,Arson and Criminal Damage,E01001230,Ealing,80.3,98.1,0.82
2762,Arson and Criminal Damage,E01002911,Kensington and Chelsea,69.9,97.8,0.71
4487,Arson and Criminal Damage,E01004750,Westminster,132.5,97.6,1.36
4982,Arson and Criminal Damage,E01035720,Westminster,51.7,97.6,0.53
4709,Arson and Criminal Damage,E01033936,Brent,99.9,97.2,1.03
1329,Arson and Criminal Damage,E01001388,Ealing,106.7,97.2,1.1
4958,Arson and Criminal Damage,E01035696,Tower Hamlets,85.0,96.9,0.88
2896,Arson and Criminal Damage,E01003047,Lambeth,199.4,96.7,2.06
4440,Arson and Criminal Damage,E01004699,Westminster,116.6,96.6,1.21
746,Arson and Criminal Damage,E01000783,Bromley,89.8,96.6,0.93
1061,Arson and Criminal Damage,E01001114,Croydon,103.7,96.6,1.07
1461,Arson and Criminal Damage,E01001525,Enfield,49.4,96.5,0.51
1867,Arson and Criminal Damage,E01001971,Haringey,137.2,96.5,1.42
4050,Arson and Criminal Damage,E01004277,Tower Hamlets,105.5,96.0,1.1
2418,Arson and Criminal Damage,E01002545,Hillingdon,85.9,96.0,0.89
409,Arson and Criminal Damage,E01000429,Bexley,110.1,95.9,1.15
4758,Arson and Criminal Damage,E01034156,Sutton,179.3,95.7,1.87
