,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
37757,Theft,E01035716,Westminster,6084.2,3142.0,1.94
37252,Theft,E01004734,Westminster,4894.4,2689.6,1.82
37276,Theft,E01004763,Westminster,4225.2,2447.3,1.73
17034,Miscellaneous Crimes Against Society,E01002444,Hillingdon,3093.6,1990.0,1.55
37254,Theft,E01004736,Westminster,3190.7,1386.4,2.3
37583,Theft,E01034220,Newham,2681.3,1267.1,2.12
14339,Drug Offences,E01004734,Westminster,1337.1,824.9,1.62
37232,Theft,E01004714,Westminster,2034.6,784.9,2.59
37253,Theft,E01004735,Westminster,1832.0,751.3,2.44
33653,Theft,E01000919,Camden,1279.1,713.3,1.79
13886,Drug Offences,E01004234,Tower Hamlets,176.6,708.3,0.25
47228,Violence Against the Person,E01004734,Westminster,2333.2,676.1,3.45
33591,Theft,E01000855,Camden,1280.6,586.6,2.18
37274,Theft,E01004761,Westminster,1492.1,561.1,2.66
37275,Theft,E01004762,Westminster,1307.1,542.8,2.41
47230,Violence Against the Person,E01004736,Westminster,1399.7,525.7,2.66
37406,Theft,E01033708,Hackney,1335.2,457.9,2.92
47559,Violence Against the Person,E01034220,Newham,733.1,452.8,1.62
10760,Drug Offences,E01000863,Camden,706.6,451.5,1.57
35451,Theft,E01002819,Kensington and Chelsea,981.8,447.4,2.19
14363,Drug Offences,E01004763,Westminster,697.1,445.6,1.56
14341,Drug Offences,E01004736,Westminster,733.5,441.3,1.66
33599,Theft,E01000863,Camden,1288.9,435.9,2.96
33648,Theft,E01000914,Camden,1336.7,424.5,3.15
32304,Robbery,E01004763,Westminster,668.0,420.2,1.59
14839,Drug Offences,E01035716,Westminster,650.0,417.0,1.56
37277,Theft,E01004765,Westminster,1308.4,417.0,3.14
34639,Theft,E01001966,Haringey,191.6,410.0,0.47
32770,Robbery,E01035716,Westminster,676.6,401.9,1.68
47733,Violence Against the Person,E01035716,Westminster,1226.2,397.3,3.09
33588,Theft,E01000850,Camden,1007.9,388.6,2.59
14844,Drug Offences,E01035721,Westminster,279.8,388.3,0.72
32280,Robbery,E01004734,Westminster,760.0,386.9,1.96
35102,Theft,E01002444,Hillingdon,1280.6,383.0,3.34
35687,Theft,E01003061,Lambeth,471.2,381.6,1.23
21102,Possession of Weapons,E01002444,Hillingdon,272.6,376.2,0.72
37460,Theft,E01033884,Southwark,920.0,361.0,2.55
37405,Theft,E01033706,Hackney,833.3,356.3,2.34
44034,Violence Against the Person,E01001340,Ealing,573.0,330.4,1.73
34616,Theft,E01001943,Hammersmith and Fulham,1238.6,326.2,3.8
43574,Violence Against the Person,E01000863,Camden,956.3,324.6,2.95
47506,Violence Against the Person,E01034150,Croydon,1011.3,324.5,3.12
33652,Theft,E01000918,Camden,732.7,323.1,2.27
37263,Theft,E01004748,Westminster,341.3,321.5,1.06
15045,Miscellaneous Crimes Against Society,E01000143,Barnet,47.8,310.9,0.15
36521,Theft,E01003929,Southwark,786.5,310.7,2.53
45649,Violence Against the Person,E01003047,Lambeth,811.2,303.5,2.67
15242,Miscellaneous Crimes Against Society,E01000372,Bexley,48.6,301.3,0.16
37249,Theft,E01004731,Westminster,592.7,296.6,2.0
47465,Violence Against the Person,E01033938,Brent,515.7,296.3,1.74
