,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
47228,Violence Against the Person,E01004734,Westminster,2333.2,676.1,3.45
47230,Violence Against the Person,E01004736,Westminster,1399.7,525.7,2.66
47559,Violence Against the Person,E01034220,Newham,733.1,452.8,1.62
47733,Violence Against the Person,E01035716,Westminster,1226.2,397.3,3.09
44034,Violence Against the Person,E01001340,Ealing,573.0,330.4,1.73
43574,Violence Against the Person,E01000863,Camden,956.3,324.6,2.95
47506,Violence Against the Person,E01034150,Croydon,1011.3,324.5,3.12
45649,Violence Against the Person,E01003047,Lambeth,811.2,303.5,2.67
47465,Violence Against the Person,E01033938,Brent,515.7,296.3,1.74
47227,Violence Against the Person,E01004733,Westminster,384.9,294.0,1.31
45078,Violence Against the Person,E01002444,Hillingdon,669.1,288.6,2.32
47469,Violence Against the Person,E01033942,Brent,287.3,280.1,1.03
47528,Violence Against the Person,E01034188,Greenwich,474.2,274.4,1.73
47382,Violence Against the Person,E01033708,Hackney,620.6,273.6,2.27
47252,Violence Against the Person,E01004763,Westminster,780.4,267.0,2.92
44160,Violence Against the Person,E01001468,Enfield,364.1,251.2,1.45
45615,Violence Against the Person,E01003013,Lambeth,484.2,246.1,1.97
44993,Violence Against the Person,E01002356,Havering,736.3,245.8,3.0
47512,Violence Against the Person,E01034156,Sutton,691.7,245.2,2.82
46341,Violence Against the Person,E01003770,Redbridge,344.5,245.0,1.41
45886,Violence Against the Person,E01003291,Lewisham,477.1,238.1,2.0
43485,Violence Against the Person,E01000769,Bromley,528.3,237.9,2.22
47381,Violence Against the Person,E01033706,Hackney,493.8,236.8,2.09
47366,Violence Against the Person,E01033594,Westminster,456.9,230.1,1.99
47539,Violence Against the Person,E01034200,Newham,550.7,222.4,2.48
47131,Violence Against the Person,E01004626,Wandsworth,374.5,221.3,1.69
47375,Violence Against the Person,E01033699,Hackney,446.3,213.5,2.09
44393,Violence Against the Person,E01001729,Hackney,344.3,212.8,1.62
47574,Violence Against the Person,E01034386,Bromley,432.3,205.7,2.1
44371,Violence Against the Person,E01001701,Greenwich,379.8,205.2,1.85
47250,Violence Against the Person,E01004761,Westminster,483.5,194.6,2.48
43876,Violence Against the Person,E01001178,Croydon,358.8,194.6,1.84
43623,Violence Against the Person,E01000914,Camden,425.2,194.3,2.19
47436,Violence Against the Person,E01033884,Southwark,370.7,193.2,1.92
45325,Violence Against the Person,E01002712,Islington,336.0,193.0,1.74
47588,Violence Against the Person,E01034473,Barking and Dagenham,539.1,190.0,2.84
