,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47291,Westminster,E01004734,Possession of Weapons,1699,163.4,118.7,1.38
47311,Westminster,E01004736,Possession of Weapons,1547,182.9,160.5,1.14
47677,Westminster,E01035716,Possession of Weapons,2201,75.9,68.8,1.1
47281,Westminster,E01004733,Possession of Weapons,2116,199.6,181.7,1.1
29388,Kingston upon Thames,E01002968,Possession of Weapons,2937,46.1,42.8,1.08
30147,Lambeth,E01003047,Possession of Weapons,1798,79.2,77.4,1.02
47529,Westminster,E01004763,Possession of Weapons,2031,60.5,60.6,1.0
19195,Hammersmith and Fulham,E01001943,Possession of Weapons,2225,50.8,50.7,1.0
23257,Havering,E01002356,Possession of Weapons,2107,64.8,68.8,0.94
11594,Croydon,E01034150,Possession of Weapons,1312,82.0,88.1,0.93
36174,Newham,E01034220,Possession of Weapons,1188,117.3,132.2,0.89
6595,Bromley,E01000676,Possession of Weapons,2046,38.8,44.1,0.88
13902,Enfield,E01001429,Possession of Weapons,2294,36.9,42.2,0.87
35978,Newham,E01034200,Possession of Weapons,1573,63.9,75.6,0.85
18788,Hammersmith and Fulham,E01001898,Possession of Weapons,2100,34.7,41.0,0.85
8347,Camden,E01000863,Possession of Weapons,1479,65.2,78.2,0.83
32760,Lewisham,E01003318,Possession of Weapons,2076,44.2,53.8,0.82
20116,Haringey,E01002034,Possession of Weapons,2471,26.2,32.5,0.81
33191,Lewisham,E01033327,Possession of Weapons,2169,34.4,42.6,0.81
11546,Croydon,E01034145,Possession of Weapons,1330,51.7,64.5,0.8
44030,Waltham Forest,E01004397,Possession of Weapons,2896,24.6,31.7,0.78
9780,Croydon,E01001013,Possession of Weapons,2185,35.3,45.4,0.78
35733,Newham,E01003619,Possession of Weapons,2473,20.0,26.1,0.77
42546,Tower Hamlets,E01004309,Possession of Weapons,2843,19.9,26.5,0.75
8152,Bromley,E01034386,Possession of Weapons,1224,52.9,70.2,0.75
36753,Redbridge,E01003689,Possession of Weapons,2230,28.0,37.8,0.74
18088,Hackney,E01033699,Possession of Weapons,1409,54.3,73.0,0.74
23228,Havering,E01002353,Possession of Weapons,2060,26.3,35.9,0.73
