,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
9964,Burglary,E01035716,Westminster,550.0,235.6,2.33
9483,Burglary,E01004763,Westminster,333.1,146.7,2.27
9481,Burglary,E01004761,Westminster,329.6,174.5,1.89
9459,Burglary,E01004734,Westminster,320.4,147.0,2.18
9613,Burglary,E01033708,Hackney,292.1,126.9,2.3
5855,Burglary,E01000914,Camden,282.8,141.8,1.99
9461,Burglary,E01004736,Westminster,263.5,146.5,1.8
9484,Burglary,E01004765,Westminster,261.4,131.7,1.98
5860,Burglary,E01000919,Camden,223.2,130.0,1.72
9439,Burglary,E01004714,Westminster,220.0,118.5,1.86
5798,Burglary,E01000855,Camden,219.0,137.2,1.6
9460,Burglary,E01004735,Westminster,216.0,99.6,2.17
9597,Burglary,E01033594,Westminster,205.9,107.4,1.92
5795,Burglary,E01000850,Camden,188.4,115.5,1.63
5859,Burglary,E01000918,Camden,178.4,101.9,1.75
9612,Burglary,E01033706,Hackney,162.8,98.9,1.65
5796,Burglary,E01000851,Camden,161.8,98.1,1.65
7568,Burglary,E01002724,Islington,159.2,94.4,1.69
9392,Burglary,E01004657,Westminster,147.4,110.7,1.33
9482,Burglary,E01004762,Westminster,140.6,91.7,1.53
5806,Burglary,E01000863,Camden,138.2,82.6,1.67
5857,Burglary,E01000916,Camden,135.4,81.7,1.66
9696,Burglary,E01033938,Brent,133.8,99.6,1.34
8728,Burglary,E01003929,Southwark,130.5,68.3,1.91
9421,Burglary,E01004695,Westminster,130.3,111.6,1.17
9959,Burglary,E01035711,Camden,127.9,70.7,1.81
9438,Burglary,E01004713,Westminster,126.9,86.9,1.46
9737,Burglary,E01034150,Croydon,123.1,87.3,1.41
9425,Burglary,E01004699,Westminster,122.5,77.6,1.58
9424,Burglary,E01004698,Westminster,120.7,89.5,1.35
9411,Burglary,E01004682,Westminster,118.1,80.5,1.47
9577,Burglary,E01033489,Islington,116.3,85.3,1.36
7658,Burglary,E01002819,Kensington and Chelsea,113.3,86.8,1.31
7657,Burglary,E01002818,Kensington and Chelsea,112.1,79.5,1.41
9393,Burglary,E01004658,Westminster,112.1,72.8,1.54
9790,Burglary,E01034220,Newham,110.9,92.7,1.2
8737,Burglary,E01003939,Southwark,105.4,60.6,1.74
9456,Burglary,E01004731,Westminster,105.1,75.4,1.39
7672,Burglary,E01002835,Kensington and Chelsea,104.5,74.2,1.41
6914,Burglary,E01002037,Haringey,104.3,71.6,1.46
7659,Burglary,E01002821,Kensington and Chelsea,103.7,81.2,1.28
9606,Burglary,E01033699,Hackney,103.5,70.5,1.47
9420,Burglary,E01004694,Westminster,102.9,78.0,1.32
9650,Burglary,E01033867,Southwark,102.0,74.7,1.37
6940,Burglary,E01002063,Haringey,101.9,94.5,1.08
7549,Burglary,E01002704,Islington,101.9,51.3,1.99
5881,Burglary,E01000942,Camden,100.3,106.5,0.94
9578,Burglary,E01033490,Islington,99.8,74.3,1.34
9437,Burglary,E01004712,Westminster,99.4,76.2,1.3
8677,Burglary,E01003876,Richmond upon Thames,98.4,81.6,1.21
9908,Burglary,E01035660,Tower Hamlets,98.0,74.4,1.32
9917,Burglary,E01035669,Tower Hamlets,96.5,73.6,1.31
6550,Burglary,E01001641,Greenwich,95.6,65.1,1.47
5885,Burglary,E01000947,Camden,95.4,71.2,1.34
9419,Burglary,E01004693,Westminster,95.1,74.3,1.28
9057,Burglary,E01004307,Tower Hamlets,94.6,51.4,1.84
9610,Burglary,E01033704,Hackney,93.9,60.1,1.56
5878,Burglary,E01000938,Camden,93.4,73.1,1.28
9900,Burglary,E01035652,Islington,93.0,69.1,1.35
9667,Burglary,E01033884,Southwark,91.5,68.4,1.34
7749,Burglary,E01002914,Kensington and Chelsea,91.3,74.3,1.23
9442,Burglary,E01004717,Westminster,91.0,65.5,1.39
7846,Burglary,E01003013,Lambeth,90.9,59.0,1.54
8140,Burglary,E01003318,Lewisham,90.2,51.8,1.74
7722,Burglary,E01002886,Kensington and Chelsea,90.0,70.7,1.27
9513,Burglary,E01032646,Southwark,89.4,74.7,1.2
9410,Burglary,E01004681,Westminster,88.9,59.8,1.49
9617,Burglary,E01033712,Hackney,88.5,72.2,1.23
7880,Burglary,E01003047,Lambeth,88.5,69.6,1.27
6174,Burglary,E01001247,Ealing,88.5,55.7,1.59
7710,Burglary,E01002874,Kensington and Chelsea,88.1,112.4,0.78
6337,Burglary,E01001412,Enfield,87.9,72.1,1.22
9193,Burglary,E01004450,Waltham Forest,87.8,92.6,0.95
9426,Burglary,E01004700,Westminster,86.9,71.5,1.22
6918,Burglary,E01002041,Haringey,86.9,90.0,0.97
6611,Burglary,E01001715,Hackney,86.6,96.4,0.9
9709,Burglary,E01034030,Ealing,86.3,73.7,1.17
9391,Burglary,E01004656,Westminster,85.9,77.7,1.11
9398,Burglary,E01004663,Westminster,85.2,86.5,0.98
9216,Burglary,E01004474,Wandsworth,84.3,59.4,1.42
5117,Burglary,E01000146,Barnet,84.2,54.4,1.55
8769,Burglary,E01003981,Southwark,83.7,66.5,1.26
8732,Burglary,E01003934,Southwark,83.6,57.6,1.45
9222,Burglary,E01004480,Wandsworth,83.1,108.2,0.77
6917,Burglary,E01002040,Haringey,82.9,66.9,1.24
9397,Burglary,E01004662,Westminster,82.5,70.1,1.18
7555,Burglary,E01002711,Islington,82.3,61.6,1.34
6205,Burglary,E01001279,Ealing,82.3,98.6,0.83
6822,Burglary,E01001943,Hammersmith and Fulham,82.1,56.0,1.47
5239,Burglary,E01000272,Barnet,81.9,82.5,0.99
9743,Burglary,E01034156,Sutton,81.7,57.9,1.41
7670,Burglary,E01002833,Kensington and Chelsea,81.5,107.4,0.76
9396,Burglary,E01004661,Westminster,80.8,55.0,1.47
5136,Burglary,E01000168,Barnet,80.8,91.9,0.88
6869,Burglary,E01001990,Haringey,80.5,68.6,1.17
6480,Burglary,E01001560,Enfield,80.0,79.8,1.0
6173,Burglary,E01001246,Ealing,79.9,55.9,1.43
5005,Burglary,E01000029,Barking and Dagenham,79.5,80.9,0.98
7686,Burglary,E01002850,Kensington and Chelsea,79.3,66.7,1.19
5516,Burglary,E01000558,Brent,79.0,66.2,1.19
9390,Burglary,E01004654,Westminster,78.9,55.1,1.43
5444,Burglary,E01000480,Brent,78.5,81.8,0.96
6758,Burglary,E01001877,Hammersmith and Fulham,78.4,84.4,0.93
7720,Burglary,E01002884,Kensington and Chelsea,78.2,60.5,1.29
9417,Burglary,E01004691,Westminster,78.2,62.7,1.25
8733,Burglary,E01003935,Southwark,78.1,64.4,1.21
9819,Burglary,E01034473,Barking and Dagenham,78.0,72.7,1.07
7868,Burglary,E01003035,Lambeth,78.0,61.8,1.26
6359,Burglary,E01001434,Enfield,78.0,77.5,1.01
5112,Burglary,E01000141,Barnet,77.8,54.8,1.42
5116,Burglary,E01000145,Barnet,77.8,84.0,0.93
7634,Burglary,E01002794,Islington,77.6,50.7,1.53
9440,Burglary,E01004715,Westminster,77.3,56.9,1.36
7644,Burglary,E01002805,Islington,77.2,60.2,1.28
6904,Burglary,E01002026,Haringey,77.2,96.4,0.8
9732,Burglary,E01034145,Croydon,77.0,84.0,0.92
8842,Burglary,E01004062,Southwark,77.0,48.9,1.57
9441,Burglary,E01004716,Westminster,76.8,65.6,1.17
5805,Burglary,E01000862,Camden,76.8,65.9,1.17
5882,Burglary,E01000943,Camden,76.7,64.2,1.19
6883,Burglary,E01002004,Haringey,76.4,76.7,1.0
9651,Burglary,E01033868,Southwark,75.9,61.4,1.24
7718,Burglary,E01002882,Kensington and Chelsea,75.7,67.6,1.12
6985,Burglary,E01002109,Harrow,75.6,75.0,1.01
8849,Burglary,E01004069,Southwark,75.4,64.3,1.17
9472,Burglary,E01004750,Westminster,75.4,57.9,1.3
5233,Burglary,E01000266,Barnet,75.4,76.6,0.98
7610,Burglary,E01002770,Islington,75.3,53.0,1.42
6417,Burglary,E01001494,Enfield,75.0,78.9,0.95
7695,Burglary,E01002859,Kensington and Chelsea,75.0,64.9,1.16
6275,Burglary,E01001349,Ealing,75.0,83.6,0.9
9094,Burglary,E01004349,Waltham Forest,74.9,79.9,0.94
5802,Burglary,E01000859,Camden,74.8,58.4,1.28
6760,Burglary,E01001879,Hammersmith and Fulham,74.8,92.1,0.81
7347,Burglary,E01002482,Hillingdon,74.6,73.2,1.02
6877,Burglary,E01001998,Haringey,74.1,75.4,0.98
5577,Burglary,E01000624,Brent,73.7,87.5,0.84
8284,Burglary,E01003463,Merton,73.6,92.1,0.8
5238,Burglary,E01000271,Barnet,73.5,83.3,0.88
9897,Burglary,E01035649,Hackney,73.4,70.5,1.04
5854,Burglary,E01000913,Camden,73.1,62.6,1.17
9739,Burglary,E01034152,Croydon,72.8,59.1,1.23
5813,Burglary,E01000872,Camden,72.7,56.6,1.28
9961,Burglary,E01035713,Kensington and Chelsea,72.6,48.1,1.51
7309,Burglary,E01002444,Hillingdon,72.6,57.6,1.26
9068,Burglary,E01004322,Tower Hamlets,72.5,65.4,1.11
5905,Burglary,E01000969,Camden,72.4,52.7,1.37
9122,Burglary,E01004377,Waltham Forest,72.3,73.8,0.98
8714,Burglary,E01003913,Southwark,72.1,46.5,1.55
6885,Burglary,E01002006,Haringey,72.1,86.6,0.83
8984,Burglary,E01004208,Tower Hamlets,72.0,52.9,1.36
9266,Burglary,E01004525,Wandsworth,72.0,51.0,1.41
8494,Burglary,E01003689,Redbridge,71.9,60.6,1.19
6502,Burglary,E01001583,Greenwich,71.8,86.6,0.83
8528,Burglary,E01003724,Redbridge,71.6,87.6,0.82
7576,Burglary,E01002733,Islington,71.6,83.2,0.86
9505,Burglary,E01032582,Lambeth,71.3,40.5,1.76
5520,Burglary,E01000562,Brent,71.2,79.5,0.9
6754,Burglary,E01001872,Hammersmith and Fulham,71.1,83.6,0.85
9293,Burglary,E01004552,Wandsworth,71.1,59.0,1.21
9579,Burglary,E01033491,Islington,71.0,52.5,1.35
5872,Burglary,E01000931,Camden,71.0,53.5,1.33
8286,Burglary,E01003465,Merton,71.0,68.9,1.03
7093,Burglary,E01002223,Harrow,70.9,86.1,0.82
5115,Burglary,E01000144,Barnet,70.9,54.3,1.31
6881,Burglary,E01002002,Haringey,70.7,58.4,1.21
8471,Burglary,E01003664,Redbridge,70.7,91.4,0.77
5804,Burglary,E01000861,Camden,70.3,56.9,1.24
7707,Burglary,E01002871,Kensington and Chelsea,70.2,63.5,1.11
9604,Burglary,E01033604,Westminster,69.8,65.6,1.06
8580,Burglary,E01003778,Redbridge,69.7,57.2,1.22
6880,Burglary,E01002001,Haringey,69.4,69.7,1.0
6476,Burglary,E01001556,Enfield,69.4,83.2,0.83
9770,Burglary,E01034200,Newham,69.4,48.5,1.43
6659,Burglary,E01001769,Hackney,69.4,79.2,0.88
7802,Burglary,E01002968,Kingston upon Thames,69.4,45.9,1.51
9966,Burglary,E01035718,Westminster,69.4,40.6,1.71
9345,Burglary,E01004609,Wandsworth,69.3,47.4,1.46
8864,Burglary,E01004084,Sutton,69.2,82.8,0.84
5751,Burglary,E01000804,Bromley,69.1,80.4,0.86
8488,Burglary,E01003682,Redbridge,69.1,75.9,0.91
7983,Burglary,E01003152,Lambeth,69.0,72.0,0.96
7723,Burglary,E01002887,Kensington and Chelsea,69.0,66.0,1.05
9471,Burglary,E01004749,Westminster,68.9,48.5,1.42
5234,Burglary,E01000267,Barnet,68.9,82.9,0.83
5744,Burglary,E01000797,Bromley,68.8,60.1,1.14
6779,Burglary,E01001898,Hammersmith and Fulham,68.8,50.1,1.37
8826,Burglary,E01004046,Southwark,68.7,82.8,0.83
9543,Burglary,E01032803,Southwark,68.6,56.5,1.21
6239,Burglary,E01001313,Ealing,68.5,76.0,0.9
9692,Burglary,E01033934,Brent,68.5,78.8,0.87
5861,Burglary,E01000920,Camden,68.4,58.0,1.18
5839,Burglary,E01000898,Camden,68.4,55.3,1.24
7574,Burglary,E01002730,Islington,68.3,54.7,1.25
5443,Burglary,E01000479,Brent,68.2,79.7,0.86
9965,Burglary,E01035717,Westminster,68.0,57.9,1.17
7888,Burglary,E01003055,Lambeth,68.0,49.0,1.39
5879,Burglary,E01000939,Camden,67.9,62.3,1.09
6775,Burglary,E01001894,Hammersmith and Fulham,67.9,56.7,1.2
5236,Burglary,E01000269,Barnet,67.8,83.5,0.81
